Date,Streamflow(CMS),Baseflow(CMS)
2016-01-01,0.5967182,0.298
2016-01-02,0.658477939,0.348
2016-01-03,0.658477939,0.372
2016-01-04,0.658477939,0.384
2016-01-05,0.658477939,0.39
2016-01-06,0.647036886,0.389
2016-01-07,0.57839057,0.367
2016-01-08,0.570763202,0.354
2016-01-09,0.566949517,0.347
2016-01-10,0.566949517,0.343
2016-01-11,0.531480725,0.331
2016-01-12,0.50665257,0.317
2016-01-13,0.492465053,0.306
2016-01-14,0.499558811,0.303
2016-01-15,0.481824415,0.296
2016-01-16,0.485371294,0.294
2016-01-17,0.485371294,0.293
2016-01-18,0.485371294,0.292
2016-01-19,0.468716298,0.286
2016-01-20,0.478547386,0.287
2016-01-21,0.432668977,0.273
2016-01-22,0.409729772,0.259
2016-01-23,0.403175714,0.25
2016-01-24,0.379145292,0.238
2016-01-25,0.358118672,0.226
2016-01-26,0.352111067,0.218
2016-01-27,0.364126278,0.218
2016-01-28,0.337092053,0.21
2016-01-29,0.397168108,0.225
2016-01-30,0.403175714,0.234
2016-01-31,0.478547386,0.261
2016-02-01,0.385152897,0.246
2016-02-02,0.331084447,0.222
2016-02-03,0.361122475,0.219
2016-02-04,0.373137686,0.222
2016-02-05,0.376141489,0.224
2016-02-06,0.379145292,0.226
2016-02-07,0.36713008,0.223
2016-02-08,0.36713008,0.222
2016-02-09,0.385152897,0.227
2016-02-10,0.370133883,0.224
2016-02-11,0.379145292,0.226
2016-02-12,0.449593823,0.249
2016-02-13,1.387262535,0.551
2016-02-14,2.736420023,1.115
2016-02-15,2.324536702,1.26
2016-02-16,1.563200165,1.093
2016-02-17,1.231980945,0.91
2016-02-18,1.087373711,0.777
2016-02-19,0.97570058,0.678
2016-02-20,0.924861529,0.614
2016-02-21,0.851805924,0.561
2016-02-22,0.799735344,0.519
2016-02-23,0.756343195,0.485
2016-02-24,0.752265476,0.468
2016-02-25,0.69517741,0.442
2016-02-26,0.719643724,0.437
2016-02-27,0.7359546,0.439
2016-02-28,0.741601295,0.442
2016-02-29,0.91106642,0.496
2016-03-01,0.893709561,0.517
2016-03-02,0.711488286,0.47
2016-03-03,0.723721443,0.451
2016-03-04,0.756343195,0.452
2016-03-05,0.815338024,0.471
2016-03-06,3.680332839,1.37
2016-03-07,3.05607817,1.61
2016-03-08,2.357645356,1.509
2016-03-09,1.902843064,1.319
2016-03-10,1.596644934,1.132
2016-03-11,1.496951914,1.011
2016-03-12,1.349971844,0.907
2016-03-13,1.269018496,0.832
2016-03-14,1.21002127,0.777
2016-03-15,1.07779379,0.71
2016-03-16,1.097594341,0.683
2016-03-17,0.952971277,0.625
2016-03-18,1.070501911,0.634
2016-03-19,1.21002127,0.682
2016-03-20,1.195457232,0.7
2016-03-21,0.906468051,0.619
2016-03-22,0.860484354,0.566
2016-03-23,0.860484354,0.54
2016-03-24,0.860484354,0.528
2016-03-25,0.856145139,0.521
2016-03-26,0.825770634,0.508
2016-03-27,0.804074559,0.495
2016-03-28,0.860484354,0.506
2016-03-29,0.860484354,0.511
2016-03-30,0.860484354,0.514
2016-03-31,0.860484354,0.515
2016-04-01,0.860484354,0.516
2016-04-02,0.860484354,0.516
2016-04-03,0.860484354,0.516
2016-04-04,0.665983495,0.456
2016-04-05,0.512209459,0.379
2016-04-06,0.237420737,0.257
2016-04-07,1.006436464,0.436
2016-04-08,1.189833079,0.58
2016-04-09,0.985411287,0.586
2016-04-10,0.970845226,0.584
2016-04-11,0.961648487,0.58
2016-04-12,1.08837743,0.618
2016-04-13,1.669744882,0.817
2016-04-14,1.356591691,0.815
2016-04-15,1.174249065,0.758
2016-04-16,8.163345224,2.899
2016-04-17,6.398836801,3.385
2016-04-18,3.990488861,2.873
2016-04-19,3.161636973,2.368
2016-04-20,4.002060632,2.385
2016-04-21,5.208991847,2.768
2016-04-22,3.577015938,2.446
2016-04-23,2.976531026,2.105
2016-04-24,2.62793658,1.832
2016-04-25,2.364253105,1.618
2016-04-26,2.026058156,1.41
2016-04-27,2.556548482,1.474
2016-04-28,2.129499111,1.372
2016-04-29,1.761919941,1.209
2016-04-30,1.520409095,1.056
2016-05-01,1.394889258,0.943
2016-05-02,2.191516174,1.135
2016-05-03,6.134740304,2.452
2016-05-04,4.608854053,2.614
2016-05-05,3.866407549,2.462
2016-05-06,3.339153583,2.225
2016-05-07,2.764940066,1.932
2016-05-08,2.386247422,1.673
2016-05-09,2.617974846,1.62
2016-05-10,3.869212945,1.983
2016-05-11,2.945288384,1.871
2016-05-12,2.481072538,1.673
2016-05-13,2.072042286,1.451
2016-05-14,2.072042286,1.344
2016-05-15,2.540698466,1.437
2016-05-16,2.951672893,1.61
2016-05-17,2.951672893,1.693
2016-05-18,2.951672893,1.733
2016-05-19,2.951672893,1.753
2016-05-20,2.951672893,1.762
2016-05-21,2.951672893,1.767
2016-05-22,2.951672893,1.769
2016-05-23,2.951672893,1.77
2016-05-24,2.73564171,1.703
2016-05-25,1.48821893,1.284
2016-05-26,1.098359225,0.961
2016-05-27,0.879655297,0.737
2016-05-28,0.727799162,0.582
2016-05-29,0.567216322,0.457
2016-05-30,0.481824415,0.37
2016-05-31,0.403722167,0.304
2016-06-01,0.314723688,0.244
2016-06-02,0.233850035,0.19
2016-06-03,0.1983127,0.153
2016-06-04,0.206949642,0.138
2016-06-05,0.241467809,0.142
2016-06-06,0.309270101,0.165
2016-06-07,0.358118672,0.191
2016-06-08,0.416283831,0.221
2016-06-09,0.403175714,0.232
2016-06-10,0.400171911,0.236
2016-06-11,0.391160503,0.235
2016-06-12,0.370133883,0.228
2016-06-13,0.446533947,0.249
2016-06-14,0.775525844,0.361
2016-06-15,1.551137107,0.656
2016-06-16,1.360609332,0.739
2016-06-17,0.930490005,0.646
2016-06-18,0.707938636,0.532
2016-06-19,0.566949517,0.433
2016-06-20,0.620341097,0.402
2016-06-21,0.609433654,0.383
2016-06-22,0.452331152,0.325
2016-06-23,0.877758438,0.429
2016-06-24,2.119931053,0.865
2016-06-25,1.224797493,0.798
2016-06-26,0.849021637,0.649
2016-06-27,0.620341097,0.506
2016-06-28,0.45888521,0.387
2016-06-29,0.409729772,0.314
2016-06-30,0.779263144,0.393
2016-07-01,28.93830902,9.171
2016-07-02,8.44682796,7.049
2016-07-03,79.36332765,28.033
2016-07-04,80.97566171,38.664
2016-07-05,101.0353281,50.021
2016-07-06,80.82478728,49.232
2016-07-07,37.12952779,35.29
2016-07-08,24.77897065,24.727
2016-07-09,16.1215624,16.94
2016-07-10,11.37269779,11.707
2016-07-11,9.553200909,8.616
2016-07-12,7.231584033,6.404
2016-07-13,6.178485758,5.009
2016-07-14,5.759706562,4.206
2016-07-15,14.63862309,6.574
2016-07-16,8.661628109,5.862
2016-07-17,6.650269843,4.894
2016-07-18,5.633615948,4.111
2016-07-19,5.177723123,3.592
2016-07-20,4.678260619,3.186
2016-07-21,3.989325711,2.776
2016-07-22,3.415134083,2.4
2016-07-23,3.008010443,2.092
2016-07-24,13.73034202,5.271
2016-07-25,6.204416509,4.47
2016-07-26,4.294560286,3.491
2016-07-27,3.869093215,2.886
2016-07-28,5.029920492,2.954
2016-07-29,5.471257569,3.124
2016-07-30,9.852256623,4.566
2016-07-31,6.506394161,4.224
2016-08-01,5.118679177,3.628
2016-08-02,4.229078995,3.064
2016-08-03,3.637598529,2.608
2016-08-04,3.131573082,2.231
2016-08-05,2.654248437,1.901
2016-08-06,1.784938534,1.472
2016-08-07,1.383659905,1.14
2016-08-08,1.338742491,0.966
2016-08-09,1.267687651,0.86
2016-08-10,1.089668364,0.753
2016-08-11,0.876093546,0.635
2016-08-12,0.799735344,0.555
2016-08-13,0.786717699,0.512
2016-08-14,0.799735344,0.495
2016-08-15,0.765021625,0.476
2016-08-16,0.756343195,0.465
2016-08-17,0.731876881,0.452
2016-08-18,0.663611797,0.424
2016-08-19,0.589831623,0.388
2016-08-20,0.517293208,0.348
2016-08-21,0.485371294,0.319
2016-08-22,0.481824415,0.304
2016-08-23,0.566949517,0.323
2016-08-24,0.542654972,0.324
2016-08-25,1.011534192,0.47
2016-08-26,1.744322558,0.768
2016-08-27,2.0677626,1.012
2016-08-28,2.662775525,1.315
2016-08-29,1.982030873,1.25
2016-08-30,1.953170572,1.21
2016-08-31,1.948526146,1.189
2016-09-01,2.711684851,1.416
2016-09-02,4.691409073,2.14
2016-09-03,3.391224175,2.086
2016-09-04,2.911231001,1.911
2016-09-05,2.274018882,1.628
2016-09-06,1.908658482,1.378
2016-09-07,1.780010399,1.218
2016-09-08,1.627950705,1.093
2016-09-09,1.394889258,0.961
2016-09-10,1.295835417,0.866
2016-09-11,1.21002127,0.794
2016-09-12,1.258291728,0.774
2016-09-13,1.112925286,0.719
2016-09-14,1.082518358,0.683
2016-09-15,1.129013662,0.68
2016-09-16,8.506349066,2.968
2016-09-17,5.341025868,3.09
2016-09-18,3.219851142,2.491
2016-09-19,2.471465048,1.97
2016-09-20,1.934829305,1.551
2016-09-21,1.724259797,1.284
2016-09-22,1.555842904,1.103
2016-09-23,1.462265379,0.986
2016-09-24,1.378045228,0.904
2016-09-25,1.338742491,0.852
2016-09-26,1.520409095,0.883
2016-09-27,1.549730572,0.907
2016-09-28,2.405031333,1.184
2016-09-29,2.439502279,1.329
2016-09-30,1.837730456,1.212
2016-10-01,1.760933789,1.132
2016-10-02,1.742596793,1.087
2016-10-03,1.44691906,0.974
2016-10-04,3.416166762,1.53
2016-10-05,2.498255213,1.514
2016-10-06,2.431779591,1.486
2016-10-07,6.504692319,2.736
2016-10-08,3.163993433,2.303
2016-10-09,2.430236056,1.866
2016-10-10,2.147367458,1.567
2016-10-11,1.882977888,1.341
2016-10-12,1.657520218,1.162
