Date,Streamflow(CMS),Baseflow(CMS)
2009-1-1,3.98,1.99
2009-1-2,3.98,2.064
2009-1-3,3.98,2.128
2009-1-4,3.98,2.183
2009-1-5,3.98,2.231
2009-1-6,3.98,2.273
2009-1-7,3.98,2.309
2009-1-8,3.98,2.34
2009-1-9,3.98,2.367
2009-1-10,3.98,2.391
2009-1-11,4.1,2.422
2009-1-12,4.25,2.461
2009-1-13,4.35,2.504
2009-1-14,4.33,2.539
2009-1-15,4.4,2.576
2009-1-16,4.18,2.589
2009-1-17,3.98,2.583
2009-1-18,3.98,2.578
2009-1-19,3.98,2.574
2009-1-20,3.98,2.57
2009-1-21,3.98,2.567
2009-1-22,3.98,2.564
2009-1-23,3.98,2.562
2009-1-24,3.98,2.56
2009-1-25,3.98,2.558
2009-1-26,3.98,2.557
2009-1-27,3.98,2.556
2009-1-28,4.19,2.573
2009-1-29,3.98,2.57
2009-1-30,3.98,2.567
2009-1-31,3.98,2.564
2009-2-1,3.98,2.562
2009-2-2,3.98,2.56
2009-2-3,3.98,2.558
2009-2-4,3.98,2.557
2009-2-5,3.98,2.556
2009-2-6,3.98,2.555
2009-2-7,3.98,2.554
2009-2-8,3.98,2.553
2009-2-9,3.98,2.552
2009-2-10,3.98,2.551
2009-2-11,3.98,2.55
2009-2-12,3.98,2.55
2009-2-13,4.08,2.558
2009-2-14,8.03,2.899
2009-2-15,5.74,3.001
2009-2-16,4.87,3.016
2009-2-17,4.77,3.021
2009-2-18,4.77,3.025
2009-2-19,4.77,3.029
2009-2-20,4.77,3.032
2009-2-21,4.77,3.035
2009-2-22,4.77,3.037
2009-2-23,4.77,3.039
2009-2-24,4.77,3.041
2009-2-25,4.77,3.043
2009-2-26,4.77,3.044
2009-2-27,4.77,3.045
2009-2-28,4.77,3.046
2009-3-1,4.77,3.048
2009-3-2,4.77,3.049
2009-3-3,4.77,3.05
2009-3-4,4.77,3.051
2009-3-5,4.77,3.051
2009-3-6,4.77,3.051
2009-3-7,4.77,3.051
2009-3-8,4.77,3.051
2009-3-9,4.77,3.051
2009-3-10,4.77,3.051
2009-3-11,4.41,2.996
2009-3-12,3.98,2.888
2009-3-13,4.24,2.846
2009-3-14,4.9,2.916
2009-3-15,4.35,2.884
2009-3-16,4.25,2.845
2009-3-17,4.12,2.795
2009-3-18,3.98,2.736
2009-3-19,3.98,2.691
2009-3-20,3.98,2.657
2009-3-21,3.98,2.631
2009-3-22,4.17,2.64
2009-3-23,4.22,2.655
2009-3-24,3.98,2.629
2009-3-25,3.98,2.609
2009-3-26,3.98,2.594
2009-3-27,3.69,2.538
2009-3-28,3.48,2.463
2009-3-29,3.48,2.406
2009-3-30,3.48,2.363
2009-3-31,3.48,2.33
2009-4-1,3.48,2.305
2009-4-2,3.48,2.286
2009-4-3,3.48,2.272
2009-4-4,3.48,2.261
2009-4-5,3.48,2.253
2009-4-6,3.48,2.247
2009-4-7,3.48,2.242
2009-4-8,3.48,2.238
2009-4-9,3.48,2.235
2009-4-10,3.48,2.233
2009-4-11,3.48,2.232
2009-4-12,3.48,2.231
2009-4-13,3.48,2.23
2009-4-14,3.45,2.225
2009-4-15,3.23,2.187
2009-4-16,3.23,2.158
2009-4-17,3.23,2.136
2009-4-18,3.23,2.119
2009-4-19,3.23,2.107
2009-4-20,3.23,2.097
2009-4-21,3.23,2.09
2009-4-22,3.23,2.085
2009-4-23,3.23,2.081
2009-4-24,3.23,2.078
2009-4-25,3.23,2.075
2009-4-26,3.23,2.073
2009-4-27,3.23,2.072
2009-4-28,3.23,2.071
2009-4-29,3.23,2.07
2009-4-30,3.23,2.069
2009-5-1,3.23,2.069
2009-5-2,3.23,2.069
2009-5-3,3.23,2.069
2009-5-4,3.23,2.069
2009-5-5,3.23,2.069
2009-5-6,3.23,2.069
2009-5-15,0.65,0.65
2009-5-16,3.14,0.976
2009-5-17,72.09,11.808
2009-5-18,14.05,11.133
2009-5-19,4.31,4.31
2009-5-20,2.35,2.35
2009-5-21,6.42,2.772
2009-5-22,7.55,3.266
2009-5-23,3.25,2.982
2009-5-24,2.11,2.11
2009-5-25,1.16,1.16
2009-5-26,0.85,0.85
2009-5-27,0.79,0.767
2009-5-28,0.79,0.704
2009-5-29,0.79,0.656
2009-5-30,0.79,0.62
2009-5-31,0.79,0.593
2009-6-1,0.79,0.56
2009-6-2,0.79,0.54
2009-6-3,0.79,0.527
2009-6-4,0.79,0.519
2009-6-5,0.79,0.514
2009-6-6,0.79,0.511
2009-6-7,0.79,0.509
2009-6-8,0.79,0.508
2009-6-9,0.79,0.507
2009-6-10,5.16,1.552
2009-6-11,2.96,1.68
2009-6-12,0.93,0.93
2009-6-13,0.79,0.771
2009-6-14,0.79,0.672
2009-6-15,0.79,0.61
2009-6-16,0.79,0.571
2009-6-17,0.79,0.547
2009-6-18,0.79,0.532
2009-6-19,0.79,0.522
2009-6-20,0.89,0.54
2009-6-21,1.54,0.707
2009-6-22,0.86,0.648
2009-6-23,0.71,0.576
2009-6-24,0.65,0.516
2009-6-25,0.65,0.479
2009-6-26,0.65,0.455
2009-6-27,0.65,0.44
2009-6-28,1.37,0.603
2009-6-29,1.56,0.751
2009-6-30,1.46,0.82
2009-7-1,0.93,0.736
2009-7-2,1.3,0.772
2009-7-3,1.62,0.871
2009-7-4,1.16,0.823
2009-7-5,0.96,0.745
2009-7-6,0.85,0.67
2009-7-7,0.79,0.609
2009-7-8,1.65,0.776
2009-7-9,30.7,7.834
2009-7-10,53.19,17.635
2009-7-11,11.05,11.05
2009-7-12,369.93,95.461
2009-7-13,139.29,93.099
2009-7-14,113.57,85.464
2009-7-15,277.8,119.993
2009-7-16,48.17,48.17
2009-7-17,23.44,23.44
2009-7-18,22.29,20.009
2009-7-19,72.23,29.814
2009-7-20,21.36,21.36
2009-7-21,17.89,17.654
2009-7-22,13.71,13.71
2009-7-23,11.72,11.388
2009-7-24,12.77,10.186
2009-7-25,12.22,9.301
2009-7-26,11.71,8.625
2009-7-27,11.31,8.106
2009-7-28,11.07,7.724
2009-7-29,9.96,7.219
2009-7-30,8.12,6.463
2009-7-31,7.24,5.779
2009-8-1,7.14,5.327
2009-8-2,7.14,5.044
2009-8-3,7.14,4.867
2009-8-4,7.14,4.756
2009-8-5,7.14,4.686
2009-8-6,7.14,4.642
2009-8-7,7.14,4.615
2009-8-8,7.86,4.77
2009-8-9,8.26,4.963
2009-8-10,7.49,4.9
2009-8-11,44.24,13.656
2009-8-12,168.37,48.848
2009-8-13,85.65,51.08
2009-8-14,28.48,28.48
2009-8-15,17.2,17.2
2009-8-16,12.57,12.57
2009-8-17,10.27,10.27
2009-8-18,7.64,7.64
2009-8-19,7.75,6.638
2009-8-20,34.13,12.325
2009-8-21,38.64,16.964
2009-8-22,14.63,14.121
2009-8-23,10.55,10.55
2009-8-24,8.39,8.39
2009-8-25,7.93,7.15
2009-8-26,9.23,6.685
2009-8-27,10.19,6.624
2009-8-28,9.21,6.351
2009-8-29,7.49,5.769
2009-8-30,7.49,5.404
2009-8-31,7.49,5.176
2009-9-1,7.49,5.072
2009-9-2,7.49,4.996
2009-9-3,7.49,4.941
2009-9-4,7.49,4.901
2009-9-5,7.49,4.872
2009-9-6,7.49,4.851
2009-9-7,7.49,4.835
2009-9-8,7.49,4.824
2009-9-9,7.49,4.816
2009-9-10,7.49,4.81
2009-9-11,7.49,4.806
2009-9-12,8.98,5.063
2009-9-13,9.98,5.424
2009-9-14,7.73,5.294
2009-9-15,7.49,5.157
2009-9-16,5.79,4.761
2009-9-17,4.99,4.333
2009-9-18,4.68,3.968
2009-9-19,4.68,3.703
2009-9-20,4.53,3.484
2009-9-21,4.33,3.29
2009-9-22,4.33,3.148
2009-9-23,4.33,3.045
2009-9-24,4.33,2.97
2009-9-25,4.33,2.916
